we have: 40000 dialogs, batch size of 1 with 1 as remainder to offset batches each epoch
Logging enabled in: test_top1_top2-t_size_40000-v_size_5000-emb_2048-eps_100-dt_12-17-16-19-batch_1.txt
3s:	 epoch: 0	 batch:14 (0.0%) 	 training error: 2.467033	 speed: 4.4 dialogs/s
6s:	 epoch: 0	 batch:30 (0.1%) 	 training error: 2.379328	 speed: 4.9 dialogs/s
9s:	 epoch: 0	 batch:45 (0.1%) 	 training error: 2.353747	 speed: 4.9 dialogs/s
12s:	 epoch: 0	 batch:61 (0.2%) 	 training error: 2.340327	 speed: 4.9 dialogs/s
15s:	 epoch: 0	 batch:77 (0.2%) 	 training error: 2.332485	 speed: 5.0 dialogs/s
19s:	 epoch: 0	 batch:92 (0.2%) 	 training error: 2.327610	 speed: 4.9 dialogs/s
22s:	 epoch: 0	 batch:107 (0.3%) 	 training error: 2.324102	 speed: 4.9 dialogs/s
25s:	 epoch: 0	 batch:122 (0.3%) 	 training error: 2.321456	 speed: 4.9 dialogs/s
28s:	 epoch: 0	 batch:138 (0.3%) 	 training error: 2.319268	 speed: 5.0 dialogs/s
31s:	 epoch: 0	 batch:154 (0.4%) 	 training error: 2.317535	 speed: 5.0 dialogs/s
34s:	 epoch: 0	 batch:172 (0.4%) 	 training error: 2.315970	 speed: 5.1 dialogs/s
37s:	 epoch: 0	 batch:189 (0.5%) 	 training error: 2.314766	 speed: 5.1 dialogs/s
40s:	 epoch: 0	 batch:204 (0.5%) 	 training error: 2.313871	 speed: 5.1 dialogs/s
43s:	 epoch: 0	 batch:219 (0.5%) 	 training error: 2.313098	 speed: 5.0 dialogs/s
46s:	 epoch: 0	 batch:234 (0.6%) 	 training error: 2.312424	 speed: 5.0 dialogs/s
49s:	 epoch: 0	 batch:249 (0.6%) 	 training error: 2.311831	 speed: 5.0 dialogs/s
53s:	 epoch: 0	 batch:264 (0.7%) 	 training error: 2.311306	 speed: 5.0 dialogs/s
56s:	 epoch: 0	 batch:281 (0.7%) 	 training error: 2.310778	 speed: 5.1 dialogs/s
59s:	 epoch: 0	 batch:296 (0.7%) 	 training error: 2.310363	 speed: 5.1 dialogs/s
62s:	 epoch: 0	 batch:312 (0.8%) 	 training error: 2.309964	 speed: 5.1 dialogs/s
65s:	 epoch: 0	 batch:327 (0.8%) 	 training error: 2.309626	 speed: 5.0 dialogs/s
68s:	 epoch: 0	 batch:344 (0.9%) 	 training error: 2.309278	 speed: 5.1 dialogs/s
71s:	 epoch: 0	 batch:360 (0.9%) 	 training error: 2.308980	 speed: 5.1 dialogs/s
74s:	 epoch: 0	 batch:376 (0.9%) 	 training error: 2.308708	 speed: 5.1 dialogs/s
77s:	 epoch: 0	 batch:392 (1.0%) 	 training error: 2.308458	 speed: 5.1 dialogs/s
80s:	 epoch: 0	 batch:408 (1.0%) 	 training error: 2.308228	 speed: 5.1 dialogs/s
83s:	 epoch: 0	 batch:424 (1.1%) 	 training error: 2.308015	 speed: 5.1 dialogs/s
86s:	 epoch: 0	 batch:440 (1.1%) 	 training error: 2.307818	 speed: 5.1 dialogs/s
89s:	 epoch: 0	 batch:456 (1.1%) 	 training error: 2.307634	 speed: 5.1 dialogs/s
92s:	 epoch: 0	 batch:471 (1.2%) 	 training error: 2.307473	 speed: 5.1 dialogs/s
96s:	 epoch: 0	 batch:486 (1.2%) 	 training error: 2.307322	 speed: 5.1 dialogs/s
99s:	 epoch: 0	 batch:501 (1.3%) 	 training error: 2.307180	 speed: 5.1 dialogs/s
102s:	 epoch: 0	 batch:518 (1.3%) 	 training error: 2.307030	 speed: 5.1 dialogs/s
105s:	 epoch: 0	 batch:534 (1.3%) 	 training error: 2.306896	 speed: 5.1 dialogs/s
108s:	 epoch: 0	 batch:550 (1.4%) 	 training error: 2.306771	 speed: 5.1 dialogs/s
111s:	 epoch: 0	 batch:565 (1.4%) 	 training error: 2.306660	 speed: 5.1 dialogs/s
114s:	 epoch: 0	 batch:581 (1.5%) 	 training error: 2.306548	 speed: 5.1 dialogs/s
117s:	 epoch: 0	 batch:596 (1.5%) 	 training error: 2.306448	 speed: 5.1 dialogs/s
120s:	 epoch: 0	 batch:609 (1.5%) 	 training error: 2.306366	 speed: 5.1 dialogs/s
124s:	 epoch: 0	 batch:621 (1.6%) 	 training error: 2.306292	 speed: 5.0 dialogs/s
127s:	 epoch: 0	 batch:630 (1.6%) 	 training error: 2.306240	 speed: 5.0 dialogs/s
130s:	 epoch: 0	 batch:639 (1.6%) 	 training error: 2.306188	 speed: 4.9 dialogs/s
133s:	 epoch: 0	 batch:647 (1.6%) 	 training error: 2.306144	 speed: 4.9 dialogs/s
136s:	 epoch: 0	 batch:655 (1.6%) 	 training error: 2.306100	 speed: 4.8 dialogs/s
140s:	 epoch: 0	 batch:663 (1.7%) 	 training error: 2.306058	 speed: 4.8 dialogs/s
143s:	 epoch: 0	 batch:671 (1.7%) 	 training error: 2.306016	 speed: 4.7 dialogs/s
146s:	 epoch: 0	 batch:679 (1.7%) 	 training error: 2.305976	 speed: 4.6 dialogs/s
150s:	 epoch: 0	 batch:687 (1.7%) 	 training error: 2.305936	 speed: 4.6 dialogs/s
153s:	 epoch: 0	 batch:695 (1.7%) 	 training error: 2.305898	 speed: 4.5 dialogs/s
156s:	 epoch: 0	 batch:703 (1.8%) 	 training error: 2.305860	 speed: 4.5 dialogs/s
160s:	 epoch: 0	 batch:711 (1.8%) 	 training error: 2.305823	 speed: 4.5 dialogs/s
163s:	 epoch: 0	 batch:718 (1.8%) 	 training error: 2.305792	 speed: 4.4 dialogs/s
166s:	 epoch: 0	 batch:725 (1.8%) 	 training error: 2.305761	 speed: 4.4 dialogs/s
169s:	 epoch: 0	 batch:732 (1.8%) 	 training error: 2.305730	 speed: 4.3 dialogs/s
