EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.9136570401198871|2548.9911774396896|2.2641137608349324|0.2708|0.6008
1|1.7598115119848166|2344.0689339637756|2.2843965422034263|0.2484|0.5926
2|1.7310633042732158|2305.7763212919235|2.2806190588772295|0.2438|0.5968
3|1.720484314111618|2291.685106396675|2.2811681248307227|0.2392|0.5968
4|1.7147221351350035|2284.0098839998245|2.283949255794287|0.2352|0.5974
5|1.7111999568817493|2279.31834256649|2.2827623051166532|0.2358|0.5954
6|1.7083527989036686|2275.5259281396866|2.279978722798824|0.2364|0.597
7|1.7059111038485806|2272.273590326309|2.278905153697729|0.2366|0.5992
8|1.7038708633488722|2269.5559899806976|2.2763102060198785|0.2396|0.5998
9|1.7012911822881784|2266.1198548078537|2.273550026643276|0.2418|0.5986
10|1.6995194225876897|2263.7598708868027|2.274629421436787|0.2414|0.5974
11|1.697764896147244|2261.422841668129|2.2769754153311252|0.2384|0.5982
12|1.696647061152501|2259.9338854551315|2.2741665027320384|0.243|0.5992
13|1.6956004666852522|2258.539821624756|2.273430213159323|0.2414|0.5966
14|1.6945869440252002|2257.1898094415665|2.274119751954079|0.2414|0.5966
15|1.6937026302735727|2256.011903524399|2.2738409902870655|0.2432|0.5972
16|1.6929638760762888|2255.0278829336166|2.2749597204208376|0.2416|0.596
17|1.6922689228802472|2254.1022052764893|2.2770660650730132|0.2434|0.5954
18|1.6914048986033992|2252.951324939728|2.2765374532401563|0.2404|0.597
19|1.6910726117479193|2252.5087188482285|2.271751847356558|0.2434|0.5976
20|1.6901773897198227|2251.316283106804|2.2778260197281837|0.2416|0.595
21|1.6897731428747778|2250.777826309204|2.2732603935420514|0.2422|0.5958
22|1.6888976112321332|2249.6116181612015|2.273542940980196|0.2434|0.5956
23|1.6881474276204724|2248.6123735904694|2.274794351559877|0.2424|0.5972
24|1.6875605852575273|2247.8306995630264|2.2749979020416737|0.2422|0.5948
