EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.8249244571745649|7297.872904241085|2.2748442544698717|0.2816|0.589
1|1.6563040141941279|6623.559752762318|2.2967615265369417|0.2348|0.5828
2|1.6182903214286761|6471.542995393276|2.312487416744232|0.2148|0.5714
3|1.6026706142585319|6409.0797864198685|2.3202269773483275|0.2026|0.5672
4|1.5957627298683488|6381.4551567435265|2.3207039997696874|0.2022|0.5634
5|1.5920519524289536|6366.615757763386|2.3202747619628905|0.203|0.5678
6|1.5895319074414676|6356.538097858429|2.323755741095543|0.199|0.5638
7|1.5872851325798465|6347.553245186806|2.3210502640485764|0.2026|0.567
8|1.5858944485592348|6341.99189978838|2.3252873092770576|0.1952|0.561
9|1.5851113878360061|6338.860439956188|2.3249654442191123|0.1938|0.5638
10|1.5837463712239153|6333.401738524437|2.3240056705594063|0.1964|0.5632
11|1.5823128671311055|6327.669155657291|2.3294507805347444|0.1882|0.5618
12|1.5810556316351885|6322.641470909119|2.327231183040142|0.1886|0.5616
13|1.580214047408098|6319.275975584984|2.3279152650117876|0.1894|0.56
14|1.5790178831978778|6314.492514908314|2.3232227403521537|0.1992|0.571
15|1.5784454656619076|6312.203417181969|2.328380445241928|0.1904|0.5634
16|1.5780077556962817|6310.45301502943|2.329142201125622|0.1882|0.5614
17|1.5769763741233285|6306.32852011919|2.329865060853958|0.186|0.562
18|1.5762477811797615|6303.414876937866|2.3292150963544844|0.1894|0.5644
19|1.575030470869189|6298.546853005886|2.3288714186668398|0.1902|0.564
20|1.5744930895664417|6296.397865176201|2.327780116534233|0.1936|0.568
21|1.5732065581565917|6291.253026068211|2.3286332244157792|0.1924|0.5664
22|1.5727194035968413|6289.3048949837685|2.3272568418979644|0.193|0.568
23|1.5717021937846065|6285.237072944641|2.328972280454636|0.1912|0.562
24|1.5707523764655362|6281.43875348568|2.3270222296833993|0.1968|0.566
