EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.1347066118373528|2843.429206967354|2.4578759246468542|0.0908|0.532
1|1.865053417267384|2484.2511518001556|2.691720586502552|0.0864|0.5172
2|1.720831351416247|2292.147360086441|2.868147895872593|0.088|0.5154
3|1.6118295113066654|2146.956909060478|3.025088274106383|0.0876|0.5112
4|1.5149897404082187|2017.9663342237473|3.169650731229782|0.0866|0.5064
5|1.4222882329164683|1894.4879262447357|3.327420757818222|0.0858|0.514
6|1.3297638493525732|1771.2454473376274|3.4909526183366775|0.086|0.5108
7|1.2372060052088432|1647.958398938179|3.6267427677839996|0.089|0.5082
8|1.1473169948782649|1528.2262371778488|3.7937663249775766|0.0916|0.5076
9|1.0560219205535568|1406.6211981773376|3.972593836629391|0.0918|0.5072
10|0.9654955799515182|1286.0401124954224|4.135914276787639|0.094|0.509
11|0.8763648535351496|1167.3179849088192|4.3197991301119325|0.0928|0.5088
12|0.7891443365284273|1051.140256255865|4.530550610756874|0.0934|0.5102
13|0.7023250836733583|935.4970114529133|4.71302425994277|0.0956|0.5124
14|0.621760283795384|828.1846980154514|4.924997966018692|0.0942|0.5094
15|0.5443970057609919|725.1368116736412|5.183101993112266|0.092|0.5086
16|0.4710738167569444|627.4703239202499|5.431375035276264|0.0928|0.505
17|0.4028723970413566|536.626032859087|5.695328515795619|0.0952|0.5058
18|0.3407007184092168|453.8133569210768|5.937109427829086|0.0964|0.508
19|0.2882190255543312|383.9077420383692|6.256209300228953|0.0926|0.5064
20|0.23777766180624654|316.7198455259204|6.53948243606817|0.095|0.5084
21|0.19431642465875135|258.8294776454568|6.831993187522143|0.0924|0.5028
22|0.1585685238521826|211.2132737711072|7.074190595354885|0.095|0.5036
23|0.1285066475124062|171.17085448652506|7.449662509986759|0.0924|0.5032
24|0.10815673689539726|144.06477354466915|7.6955611621879045|0.0954|0.5024
