EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.1746654939409849|1564.6544379293919|3.1968644977390768|0.115|0.4862
1|0.6395042175622853|851.819617792964|3.685058860743046|0.1078|0.4672
2|0.48050422844541324|640.0316322892904|4.038657172120362|0.1046|0.4678
3|0.3759617109897661|500.78099903836846|4.333142712515593|0.0998|0.4666
4|0.2937143278104049|391.2274846434593|4.65621038422808|0.101|0.4678
5|0.22589145425438611|300.8874170668423|4.953578728475422|0.1026|0.4746
6|0.16886523508749254|224.92849313654006|5.372489550355077|0.1006|0.475
7|0.12166600930504501|162.05912439431995|5.795870561638102|0.103|0.4782
8|0.08577245629152043|114.2489117803052|6.196515124120005|0.1032|0.4778
9|0.062226038122012675|82.88508277852088|6.579419576744735|0.1042|0.4874
10|0.04977790093645118|66.30416404735297|6.895359007997066|0.1102|0.494
11|0.05545702855754364|73.86876203864813|7.393960525738727|0.1034|0.4834
12|0.05910852319381253|78.73255289415829|8.028681112712622|0.0956|0.4672
13|0.05230634645003037|69.67205347144045|8.354576835687924|0.0886|0.451
14|0.04057374112248594|54.044223175151274|8.578557447396033|0.0898|0.4592
15|0.029339779603089467|39.08058643131517|8.831182736406475|0.0948|0.4574
16|0.025921246134249534|34.52709985082038|9.170830388638377|0.0932|0.455
17|0.025482926064561744|33.943257517996244|9.400776953976228|0.0886|0.4494
18|0.02414106114569271|32.15589344606269|9.512434293495119|0.0896|0.4508
19|0.02013063796751506|26.81400977273006|9.346394805300235|0.0964|0.466
20|0.0196433570365755|26.164951572718564|9.833357103786618|0.0948|0.4776
21|0.021486784383721366|28.62039679911686|9.550112550036609|0.1058|0.4872
22|0.02078517587930097|27.68585427122889|9.55052543923296|0.1112|0.504
23|0.02083663931272906|27.754403564555105|10.492375053404272|0.0918|0.467
24|0.016562790436300136|22.061636861151783|10.164528170752526|0.0974|0.494
