EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.2090339456290007|88361.35782516003|2.174951941728592|0.4456|0.5988
1|2.204398303824663|88175.93215298653|2.174400307059288|0.4474|0.5998
2|2.2040119491428136|88160.47796571255|2.174284729862213|0.4466|0.6002
3|2.203914210554957|88156.5684221983|2.174254822587967|0.4468|0.6004
4|2.203884555849433|88155.38223397732|2.1742465131044386|0.447|0.6002
5|2.203874620385468|88154.98481541872|2.174244164276123|0.447|0.6002
6|2.2038710658088325|88154.8426323533|2.1742435278892516|0.447|0.6002
7|2.203869731631875|88154.789265275|2.1742433811903|0.447|0.6002
8|2.2038692133545874|88154.7685341835|2.174243362164497|0.4468|0.6002
9|2.2038690060093997|88154.760240376|2.17424336707592|0.4468|0.6002
10|2.2038689213633536|88154.75685453415|2.1742433811187745|0.4468|0.6002
11|2.2038688854917883|88154.75541967154|2.1742433845758438|0.4468|0.6002
12|2.203868870650232|88154.75482600927|2.174243392086029|0.4468|0.6002
13|2.2038688638329504|88154.75455331802|2.1742433999300004|0.4468|0.6002
14|2.2038688588932156|88154.75435572863|2.1742433965444565|0.4468|0.6002
15|2.203868860158324|88154.75440633297|2.174243398475647|0.4468|0.6002
16|2.2038688589900732|88154.75435960293|2.1742434015750884|0.4468|0.6002
17|2.2038688573300838|88154.75429320335|2.174243401503563|0.4468|0.6002
18|2.2038688581973314|88154.75432789326|2.1742434007406235|0.4468|0.6002
19|2.2038688581228256|88154.75432491302|2.17424339928627|0.4468|0.6002
20|2.2038688589408992|88154.75435763597|2.1742433982372282|0.4468|0.6002
21|2.203868856650591|88154.75426602364|2.1742434012413026|0.4468|0.6002
22|2.2038688579767944|88154.75431907177|2.17424340171814|0.4468|0.6002
23|2.2038688583880663|88154.75433552265|2.174243400812149|0.4468|0.6002
24|2.2038688585877417|88154.75434350967|2.1742434013605116|0.4468|0.6002
