EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.2049244107425214|88196.97642970085|2.190286454463005|0.4376|0.6016
1|2.2025401281118393|88101.60512447357|2.1913437873601915|0.4372|0.6016
2|2.202011086970568|88080.44347882271|2.191197833943367|0.438|0.6022
3|2.2014184880495073|88056.73952198029|2.191008020710945|0.4378|0.6022
4|2.2009559728205206|88038.23891282082|2.1909034252405166|0.4382|0.6022
5|2.200447873210907|88017.91492843628|2.1907383510589598|0.4372|0.603
6|2.1999744851261376|87998.97940504551|2.1906047471284866|0.4372|0.6024
7|2.1994805777996778|87979.22311198711|2.1904479716300966|0.438|0.6028
8|2.1990969925552606|87963.87970221043|2.1903355880498885|0.4384|0.6026
9|2.198767833214998|87950.71332859993|2.1902468801975252|0.4386|0.6026
10|2.198475787243247|87939.03148972988|2.190175537967682|0.4386|0.6022
11|2.198159434324503|87926.37737298012|2.190088636302948|0.4386|0.602
12|2.1978425482094286|87913.70192837715|2.1899811449050905|0.4386|0.6022
13|2.19761837105155|87904.734842062|2.1899280851125718|0.4384|0.602
14|2.197386077234149|87895.44308936596|2.189864960670471|0.4384|0.602
15|2.1971329969763755|87885.31987905502|2.18977706823349|0.439|0.6014
16|2.196965744304657|87878.62977218628|2.189734569644928|0.4388|0.6014
17|2.1968630601257084|87874.52240502834|2.1897183124542234|0.4392|0.6014
18|2.1967453364789487|87869.81345915794|2.189712990164757|0.4394|0.6018
19|2.1965961617052554|87863.84646821022|2.1896852900981902|0.4394|0.6016
20|2.1964141187727453|87856.5647509098|2.1896386744976044|0.4394|0.6018
21|2.196255981898308|87850.23927593231|2.189614489722252|0.4398|0.6018
22|2.196086323931813|87843.45295727253|2.189593429470062|0.44|0.6018
23|2.195856648790836|87834.26595163345|2.189525903558731|0.44|0.6016
24|2.1956477780103683|87825.91112041473|2.189461526799202|0.4404|0.6014
