EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.9652744529841542|2617.745571374893|2.225449562686682|0.3706|0.5964
1|1.828843203034845|2436.0191464424133|2.2325078417301176|0.3518|0.5932
2|1.8056925518197697|2405.1824790239334|2.2286079162865877|0.3492|0.5946
3|1.7953569445166144|2391.4154500961304|2.23091433339715|0.3448|0.5932
4|1.7898287669316426|2384.051917552948|2.23139952416718|0.342|0.5948
5|1.7858737802004312|2378.7838752269745|2.2315022543489933|0.3394|0.594
6|1.7831447816288866|2375.148849129677|2.2338213363438846|0.3334|0.595
7|1.7807325429923542|2371.9357472658157|2.231290691167116|0.3396|0.5924
8|1.779104124139379|2369.766693353653|2.2331426701754333|0.3378|0.5954
9|1.7777397141263291|2367.9492992162704|2.2328900254130364|0.3312|0.5944
10|1.7770236275933526|2366.9954719543457|2.233486139652133|0.3332|0.5916
11|1.7763050713159658|2366.0383549928665|2.232253106495738|0.3336|0.5926
12|1.7748670945833396|2364.1229699850082|2.2318383615523576|0.3308|0.5932
13|1.7738061847987476|2362.7098381519318|2.231011470809579|0.3404|0.5922
14|1.7724979045512799|2360.9672088623047|2.2331882759690287|0.3326|0.5908
15|1.771792388177133|2360.027461051941|2.231403424793482|0.3388|0.59
16|1.7715057156107448|2359.645613193512|2.2318169895648956|0.3376|0.5898
17|1.7708500418756101|2358.7722557783127|2.231954545086622|0.3346|0.5906
18|1.7699442405600447|2357.5657284259796|2.2335627259641884|0.3324|0.59
19|1.7688427102995348|2356.0984901189804|2.2331336939036848|0.3336|0.5892
20|1.7677092675690178|2354.5887444019318|2.2331397141188383|0.3344|0.5914
21|1.7669270775160633|2353.546867251396|2.232927500525117|0.332|0.5922
22|1.7665860409493204|2353.0926065444946|2.2342664484590293|0.3268|0.59
23|1.7659380356291752|2352.229463458061|2.234309344649315|0.328|0.5894
24|1.7658741407029264|2352.144355416298|2.232688972079754|0.3284|0.5888
