EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.005633440909085|2671.503743290901|2.2579148849248885|0.3498|0.599
1|1.833619802563756|2442.381577014923|2.2817988453745843|0.3152|0.5816
2|1.7910271355876692|2385.6481446027756|2.29235062520504|0.2896|0.5732
3|1.7714060587030989|2359.5128701925278|2.295222176659107|0.2928|0.5746
4|1.7615947948919761|2346.444266796112|2.2996495037555693|0.2802|0.5704
5|1.7567745512491233|2340.023702263832|2.3021506848931312|0.2806|0.5692
6|1.753872100834374|2336.157638311386|2.303865569937229|0.2856|0.5676
7|1.7518745622298382|2333.4969168901443|2.2986218113660812|0.2922|0.5756
8|1.7507492137384844|2331.9979526996613|2.3034004787802695|0.2892|0.5704
9|1.749855611506883|2330.8076745271683|2.2997445555090903|0.2962|0.5726
10|1.7498578449806295|2330.8106495141983|2.301262656646967|0.2936|0.5716
11|1.7492400580519312|2329.9877573251724|2.2996367609202863|0.2988|0.5748
12|1.7485787707406122|2329.1069226264954|2.301203486096859|0.2926|0.5722
13|1.7480843946919427|2328.4484137296677|2.3024440160214903|0.297|0.5724
14|1.7476785636699952|2327.9078468084335|2.301899790126085|0.3002|0.5726
15|1.7471538764220458|2327.208963394165|2.2967172549426556|0.3104|0.578
16|1.7466834268949412|2326.5823246240616|2.3016585014343263|0.3064|0.5752
17|1.7462971641852691|2326.0678226947784|2.3022769716382028|0.2992|0.5724
18|1.7460197970136866|2325.6983696222305|2.3036898250699043|0.2976|0.5714
19|1.7457838619614507|2325.3841041326523|2.3026676663458345|0.3034|0.574
20|1.745731084196417|2325.3138041496277|2.299450251686573|0.306|0.5746
21|1.7451291842324597|2324.5120733976364|2.302923902976513|0.3032|0.573
22|1.7452471348437462|2324.66918361187|2.303566372001171|0.3006|0.5726
23|1.745176142668939|2324.5746220350266|2.303286532139778|0.2942|0.5686
24|1.7453301590126198|2324.7797718048096|2.3040235312998294|0.2934|0.572
