EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.007388918070464|2673.842038869858|2.1988635172843933|0.3656|0.6404
1|1.8066848655183751|2406.5042408704758|2.3123539438962935|0.1632|0.543
2|1.724804558106013|2297.439671397209|2.327532925415039|0.1586|0.5216
3|1.684189825802594|2243.340847969055|2.3264847365140917|0.1582|0.515
4|1.6577299618506216|2208.096309185028|2.3274946075677874|0.154|0.5154
5|1.6395112100664202|2183.8289318084717|2.3319847852230073|0.1512|0.5022
6|1.6267113875340413|2166.779568195343|2.3208229415655137|0.1468|0.5044
7|1.6216922548261132|2160.094083428383|2.3255139018535615|0.143|0.496
8|1.6133203629079882|2148.9427233934402|2.3320354858636856|0.1446|0.497
9|1.6032459616840065|2135.5236209630966|2.32891958591938|0.1448|0.503
10|1.5992853148384496|2130.2480393648148|2.3157330745458604|0.1462|0.5046
11|1.589558329668131|2117.2916951179504|2.31289846701622|0.1442|0.5036
12|1.5819073924431213|2107.1006467342377|2.307963462591171|0.1464|0.5044
13|1.5760247133694611|2099.2649182081223|2.31263262629509|0.1494|0.508
14|1.5764941877430982|2099.8902580738068|2.323023503994942|0.1316|0.4832
15|1.568701952964336|2089.5110013484955|2.3252233399152757|0.1352|0.494
16|1.5628253856041767|2081.6834136247635|2.3103129648685456|0.1452|0.5064
17|1.5592547675689779|2076.9273504018784|2.3087032497167588|0.147|0.501
18|1.555416219853782|2071.8144048452377|2.3138153015613554|0.1388|0.4946
19|1.5504462427205152|2065.194395303726|2.3200443138360978|0.1486|0.5072
20|1.547737940385177|2061.5869365930557|2.3337107833623887|0.1324|0.489
21|1.5482054246259522|2062.2096256017685|2.3219507684469223|0.1334|0.4912
22|1.5431053225879554|2055.4162896871567|2.3151814197063447|0.134|0.4904
23|1.542901761449493|2055.145146250725|2.312927617263794|0.1452|0.499
24|1.5449250236645833|2057.840131521225|2.3255201952934264|0.1424|0.497
